,Make,Model,Year of manufacture,Colour,Condition,Mileage,Engine Size,Selling Condition,Bought Condition,Registered city,Price
3210,Honda,Accord,2013,Silver,Nigerian Used,345800,2400,Registered,Imported,Abj,4908750.0
3211,Honda,Accord,2005,Black,Nigerian Used,182828,2400,Registered,Registered,,997500.0
3212,Toyota,Camry,2010,Blue,Nigerian Used,110968,2400,Registered,Registered,,2730000.0
3213,Toyota,Avalon,2006,Gold,Nigerian Used,76211,3500,Registered,Imported,LAGOS,2625000.0
3214,Toyota,Hilux,2021,Black,Nigerian Used,2027,4000,Registered,Brand new,ABUJA,47250000.0
3215,Porsche,Kremer,2004,Black,Foreign Used,469544,4500,Imported,Imported,,11550000.0
3216,Kia,Forte,2014,Blue,Brand New,85845,2000,Brand new,Brand new,,5775000.0
3217,Honda,Pilot,2009,Green,Foreign Used,90457,3500,Imported,Imported,,5725000.0
3218,Land Rover,Range Rover,2013,Silver,Foreign Used,137270,5000,Imported,Imported,,32240000.0
3219,Nissan,Frontier,2006,White,Nigerian Used,163262,4000,Registered,Imported,LAGOS,4830000.0
3220,Land Rover,Range Rover Sport,2014,Black,Foreign Used,93670,5000,Imported,Imported,,21000000.0
3221,Volkswagen,Routan,2011,Gray,Nigerian Used,135482,3600,Registered,Imported,LAGOS,3885000.0
3222,Honda,Accord,2005,Gold,Nigerian Used,313658,3300,Registered,Registered,Abuja,1417500.0
3223,Toyota,Avalon,2008,Burgandy,Nigerian Used,115460,3500,Registered,Imported,ABUJA,3120000.0
3224,Mercedes-Benz,C300,2009,Black,Foreign Used,172717,3000,Imported,Imported,,7592000.0
3225,Nissan,Pathfinder,2005,,Nigerian Used,,,Registered,Registered,NASARAWA STATE,2756000.0
3226,Mercedes-Benz,GL-Class,2008,White,Foreign Used,268349,4600,Imported,Imported,,5250000.0
3227,Land Rover,Range Rover Sport,2011,Black,Nigerian Used,164366,5000,Registered,Imported,LAGOS,7280000.0
3228,Toyota,Corolla,2005,Silver,Foreign Used,209574,1600,Imported,Imported,,3675000.0
3229,Toyota,Tundra,2004,Black,Foreign Used,697729,4700,Imported,Imported,,4194750.0
3230,Land Rover,Range Rover,2011,Gray,Nigerian Used,140884,5000,Registered,Imported,,4200000.0
3231,Hyundai,Sonata,2015,White,Foreign Used,156265,2400,Imported,Imported,,7560000.0
3232,Mercedes-Benz,C300,2008,Blue,Foreign Used,189099,3000,Imported,Imported,,5565000.0
3233,Ford,Edge,2011,Red,Nigerian Used,281117,3300,Registered,Imported,LAGOS,4680000.0
3234,Honda,Accord,2012,White,Nigerian Used,132346,2400,Registered,Imported,Abuja,4160000.0
3235,Honda,Odyssey,2008,Green,Nigerian Used,177516,3500,Registered,Registered,LAGOS,3990000.0
3236,Ford,Explorer,2007,Brown,Nigerian Used,135108,2000,Registered,Imported,Lagos,2100000.0
3237,Lexus,RX 350,2007,Silver,Nigerian Used,264705,3500,Registered,Registered,LAGOS,4200000.0
3238,Honda,Accord,2005,Gold,Nigerian Used,234626,2400,Registered,Registered,LAGOS,1560000.0
3239,Toyota,Avalon,2006,Silver,Foreign Used,162541,3500,Imported,Imported,,4225000.0
3240,Toyota,Corolla,2004,Silver,Nigerian Used,251732.0,1800.0,Registered,Registered,,2812500.0
3241,Acura,MDX,2007,Green,Foreign Used,224589.0,3700.0,Imported,Imported,,5000000.0
3242,Acura,TL,2012,White,Foreign Used,111334.0,3500.0,Imported,Imported,,7592000.0
3243,Land Rover,Range Rover,2012,Gray,Nigerian Used,72682.0,4000.0,Registered,Imported,,9880000.0
3244,Ford,Edge,2013,Gray,Nigerian Used,92118.0,3500.0,Registered,Registered,Lagos,4160000.0
3245,Acura,ZDX,2010,White,Nigerian Used,93991.0,3700.0,Registered,Imported,LAGOS,5250000.0
3246,Lexus,GX,2011,Red,Nigerian Used,122987.0,4800.0,Registered,Registered,Abuja,16640000.0
3247,Lexus,GS,2013,Gray,Nigerian Used,94469.0,3500.0,Registered,Registered,,7980000.0
3248,Toyota,Camry,2007,Gold,Foreign Used,159726.0,3000.0,Imported,Imported,,3885000.0
3249,Mercedes-Benz,GLK-Class,2015,White,Foreign Used,138202.0,3500.0,Imported,Imported,,13000000.0
3250,Toyota,Camry,2011,Black,Nigerian Used,128048.0,2500.0,Registered,Imported,,3432000.0
3251,Mercedes-Benz,M Class,2012,Blue,Foreign Used,329589.0,3500.0,Imported,Imported,,14560000.0
3252,Mercedes-Benz,GL-Class,2015,White,Nigerian Used,56233.0,3000.0,Registered,Imported,LAGOS,16800000.0
3253,Land Rover,Range Rover Vogue,2011,White,Nigerian Used,70858.0,4200.0,Registered,Brand new,Lagos,10500000.0
3254,Lancia,Thesis,2007,White,Foreign Used,214524.0,2800.0,Imported,Imported,,3990000.0
3255,Toyota,HiAce,2011,Silver,Foreign Used,31234.0,2700.0,Imported,Imported,,9135000.0
3256,Lexus,ES,2005,Blue,Nigerian Used,205914.0,3300.0,Registered,Registered,LAGOS,3328000.0
3257,Toyota,Camry,2018,Black,Nigerian Used,68871.0,3500.0,Registered,Imported,Abuja,13520000.0
3258,Toyota,Corolla,2004,Black,Foreign Used,277779.0,1800.0,Imported,Imported,,3640000.0
3259,Land Rover,Range Rover,2012,Brown,Foreign Used,115.0,4900.0,Imported,Imported,,9000000.0
3260,Toyota,Highlander,2010,Black,Foreign Used,138164.0,3500.0,Imported,Imported,,8839995.0
3261,Toyota,Camry,2018,Gray,Nigerian Used,40928.0,2500.0,Registered,Imported,,13208000.0
3262,Toyota,Highlander,2004,Gold,Nigerian Used,335734.0,3300.0,Registered,Registered,,3120000.0
3263,Land Rover,Range Rover,2016,White,Nigerian Used,47555.0,3000.0,Registered,Registered,LAGOS,39900000.0
3264,Lexus,RX 400h,2006,Gray,Nigerian Used,197857.0,3300.0,Registered,Registered,,4725000.0
3265,Acura,MDX,2008,Black,Nigerian Used,83701.0,3500.0,Registered,Imported,LAGOS,4160000.0
3266,Toyota,Highlander,2009,Silver,Foreign Used,194581.0,3500.0,Imported,Imported,,8840000.0
3267,Lexus,ES,2007,Red,Nigerian Used,181974.0,3500.0,Registered,Imported,LAGOS,3640000.0
3268,Mercedes-Benz,M Class,2007,Gold,Nigerian Used,126048.0,3500.0,Registered,Imported,LAGOS,4160000.0
3269,Toyota,Tacoma,2010,Gray,Nigerian Used,105530.0,3500.0,Registered,Imported,LAGOS,7360000.0
3270,Toyota,Camry,2012,Red,Nigerian Used,300082.0,2500.0,Registered,Imported,LAGOS,4576000.0
3271,Toyota,RAV4,2009,Silver,Foreign Used,118256.0,2500.0,Imported,Imported,,6152000.0
3272,Acura,MDX,2008,Black,Nigerian Used,83701.0,3500.0,Registered,Imported,LAGOS,4160000.0
3273,Land Rover,Range Rover,2012,Brown,Foreign Used,115.0,4900.0,Imported,Imported,,9000000.0
3274,Lexus,ES,2007,Red,Nigerian Used,181974.0,3500.0,Registered,Imported,LAGOS,3640000.0
3275,Mercedes-Benz,GL-Class,2007,Black,Nigerian Used,235866.0,4700.0,Registered,Registered,,4680000.0
3276,Toyota,Highlander,2008,Blue,Foreign Used,107641.0,3500.0,Imported,Imported,,8112000.0
3277,Mercedes-Benz,M Class,2007,Gold,Nigerian Used,126048.0,3500.0,Registered,Imported,LAGOS,4160000.0
3278,Toyota,Highlander,2008,Gray,Nigerian Used,143583.0,3500.0,Registered,Imported,,6240000.0
3279,Lexus,ES,2014,Black,Foreign Used,172741.0,3500.0,Imported,Imported,,10080000.0
3280,Toyota,Camry,2011,Gray,Nigerian Used,149124.0,3500.0,Registered,Imported,FCT,3952000.0
3281,Toyota,Camry,2011,Black,Foreign Used,237328.0,2400.0,Imported,Imported,,4680000.0
3282,Toyota,Venza,2012,Brown,Nigerian Used,2255693.0,3500.0,Registered,Imported,LAGOS,8320000.0
3283,Toyota,Highlander,2004,Gray,Foreign Used,210314.0,3300.0,Imported,Imported,,3675000.0
3284,Mercedes-Benz,GL-Class,2008,Black,Nigerian Used,115647.0,4000.0,Registered,Imported,,6760000.0
3285,Toyota,Camry,2011,Black,Foreign Used,237328.0,2400.0,Imported,Imported,,4680000.0
3286,Toyota,Venza,2012,Silver,Foreign Used,125117.0,2700.0,Imported,Imported,,9048000.0
3287,Mercedes-Benz,M Class,2014,Blue,Foreign Used,268495.0,4600.0,Imported,Imported,,14560000.0
3288,Lexus,ES,2007,Gold,Foreign Used,163143.0,3500.0,Imported,Imported,,4725000.0
3289,Renault,Duster,2010,Black,Nigerian Used,48294.0,1600.0,Registered,Registered,Lagos,4200000.0
3290,Toyota,Highlander,2008,Black,Nigerian Used,117980.0,3500.0,Registered,Registered,,5000000.0
3291,Toyota,Hilux,2012,White,Nigerian Used,189367.0,2700.0,Registered,Registered,,6300000.0
3292,Mercedes-Benz,Viano,2012,Black,Nigerian Used,45933.0,3500.0,Registered,Brand new,LAGOS,13650000.0
3293,Hyundai,Creta,2016,Gray,Nigerian Used,102874.0,1600.0,Registered,Registered,,7140000.0
3294,Mercedes-Benz,M Class,2011,Gray,Foreign Used,90047.0,3500.0,Imported,Imported,,9360000.0
3295,Toyota,Venza,2013,Brown,Nigerian Used,221615.0,2700.0,Registered,Imported,ABUJA,6300000.0
3296,Toyota,Tacoma,2008,Black,Foreign Used,89611.0,4000.0,Imported,Imported,,8840000.0
3297,Mercedes-Benz,GL-Class,2007,Black,Nigerian Used,235866.0,4700.0,Registered,Registered,,4680000.0
3298,Lexus,GX,2008,Blue,Nigerian Used,59214.0,4500.0,Registered,Imported,LAGOS,6760000.0
3299,Mercedes-Benz,M Class,2012,White,Foreign Used,340042.0,3500.0,Imported,Imported,,11550000.0
3300,Mercedes-Benz,GLK-Class,2015,Silver,Foreign Used,156587.0,3500.0,Imported,Imported,,12075000.0
3301,Toyota,Camry,2011,Gray,Nigerian Used,149124.0,3500.0,Registered,Imported,FCT,3952000.0
3302,Mercedes-Benz,GL-Class,2008,Black,Nigerian Used,115647.0,4000.0,Registered,Imported,,6760000.0
3303,Lexus,ES,2008,Black,Nigerian Used,91444.0,3500.0,Registered,Registered,LAGOS,3952000.0
3304,Hyundai,H1,2016,White,Nigerian Used,76961.0,2400.0,Registered,Registered,,5250000.0
3305,Lexus,GX,2003,Gold,Nigerian Used,177852.0,4700.0,Registered,Imported,Lagos,4410000.0
3306,Hyundai,Santa Fe,2013,Silver,Nigerian Used,81128.0,2000.0,Registered,Registered,RIVERS,3937500.0
3307,Toyota,Highlander,2008,Blue,Foreign Used,107641.0,3500.0,Imported,Imported,,8112000.0
3308,Land Rover,Range Rover Evoque,2013,Black,Nigerian Used,147386.0,2400.0,Registered,Registered,Lagos,7350000.0
3309,Lexus,IS,2015,Black,Foreign Used,117114.0,2500.0,Imported,Imported,,14768000.0
3310,Toyota,Highlander,2015,Blue,Foreign Used,126210.0,3500.0,Imported,Imported,,15600000.0
3311,Acura,MDX,2008,Gray,Nigerian Used,378349.0,3700.0,Registered,Imported,LAGOS,3744000.0
3312,Toyota,Hilux,2014,White,Nigerian Used,82115.0,2700.0,Registered,Registered,Lagos,8984000.0
3313,Hyundai,Santa Fe,2018,Gray,Nigerian Used,4756.0,2400.0,Registered,Brand new,LAGOS,14700000.0
3314,Lexus,RC,2017,White,Nigerian Used,27287.0,3500.0,Registered,Imported,Lagos,17850000.0
3315,Toyota,Highlander,2008,Black,Nigerian Used,119009.0,3500.0,Registered,Imported,,4725000.0
3316,Lexus,ES,2007,Beige,Nigerian Used,161551.0,3500.0,Registered,Imported,LAGOS,4160000.0
3317,Hyundai,Sonata,2018,Gray,Nigerian Used,56452.0,2000.0,Registered,Brand new,LAGOS,6825000.0
3318,Lexus,GX,2015,Black,Nigerian Used,55940.0,4600.0,Registered,Imported,LAGOS,19760000.0
3319,Mercedes-Benz,C300,2008,Silver,Foreign Used,,3500.0,Imported,Imported,,3675000.0
3320,Toyota,Sequoia,2008,Black,Nigerian Used,198169.0,5700.0,Registered,Imported,,10400000.0
3321,Toyota,Highlander,2006,Silver,Nigerian Used,111574.0,2400.0,Registered,Imported,,3640000.0
3322,Toyota,Highlander,2010,Black,Nigerian Used,191252.0,3500.0,Registered,Registered,,8320000.0
3323,Toyota,Camry,2012,Gray,Nigerian Used,120486.0,2500.0,Registered,Registered,,4680000.0
3324,Toyota,Land Cruiser Prado,2011,Black,Nigerian Used,113154.0,2700.0,Registered,Registered,Lagos,15600000.0
3325,Toyota,Camry,2012,Black,Nigerian Used,184118.0,2500.0,Registered,Imported,,4680000.0
3326,Toyota,RAV4,2011,Black,Nigerian Used,121804.0,2400.0,Registered,Registered,LAGOS,3675000.0
3327,Mercedes-Benz,C-Class,2012,Black,Nigerian Used,119275.0,,Registered,Registered,LAGOS,4620000.0
3328,Toyota,Camry,2012,Black,Nigerian Used,23563.0,2500.0,Registered,Imported,LAGOS,4680000.0
3329,Toyota,Venza,2009,Gray,Foreign Used,86051.0,3500.0,Imported,Imported,,7350000.0
3330,Toyota,Camry,2007,Gray,Foreign Used,105430.0,2400.0,Imported,Imported,,4680000.0
3331,Toyota,Sienna,2012,Gray,Foreign Used,59425.0,3500.0,Imported,Imported,,6050000.0
3332,Toyota,Tundra,2018,Silver,Foreign Used,72709.0,57000.0,Imported,Imported,,27040000.0
3333,Toyota,Venza,2009,Gold,Nigerian Used,77282.0,2700.0,Registered,Registered,LAGOS,5355000.0
3334,Toyota,Camry,2012,Gray,Foreign Used,308314.0,2500.0,Imported,Imported,,5250000.0
3335,Lexus,RX 400h,2006,Silver,Nigerian Used,110410.0,3500.0,Registered,Imported,Abuja,5670000.0
3336,Toyota,Corolla,2014,Gray,Nigerian Used,120525.0,1800.0,Registered,Registered,Lagos,5720000.0
3337,Toyota,Avalon,2007,White,Nigerian Used,148988.0,3500.0,Registered,Imported,Lagos,26000000.0
3338,Saturn,Vue,2008,Blue,Nigerian Used,275713.0,3600.0,Registered,Registered,LAGOS,3360000.0
3339,Mercedes-Benz,GLA 250,2015,Red,Foreign Used,47864.0,2000.0,Imported,Imported,,13650000.0
3340,Toyota,Camry,2015,Black,Foreign Used,144806.0,2500.0,Imported,Imported,,5460000.0
3341,Mercedes-Benz,M Class,2013,Black,Foreign Used,146218.0,3500.0,Imported,Imported,,13650000.0
3342,Toyota,Highlander,2009,Gray,Nigerian Used,108067.0,3500.0,Registered,Registered,,6136000.0
3343,Lexus,GX,2005,Black,Nigerian Used,145875.0,4700.0,Registered,Registered,Lagos,6240000.0
3344,Toyota,Highlander,2012,White,Nigerian Used,76040.0,3500.0,Registered,Registered,Lagos,8320000.0
3345,Toyota,Highlander,2015,Burgandy,Foreign Used,165406.0,3500.0,Imported,Imported,,14175000.0
3346,Mercedes-Benz,C350,2009,Blue,Nigerian Used,90404.0,3500.0,Registered,Registered,,3952000.0
3347,Ford,Explorer,2009,Brown,Nigerian Used,128563.0,4000.0,Registered,Registered,LAGOS,9975000.0
3348,Toyota,RAV4,2009,Red,Nigerian Used,105970.0,2500.0,Registered,Registered,LAGOS,3255000.0
3349,Toyota,RAV4,2007,White,Foreign Used,92686.0,3500.0,Imported,Imported,,6032000.0
3350,Toyota,Camry,2012,Black,Nigerian Used,131825.0,2500.0,Registered,Registered,LAGOS,4515000.0
3351,Toyota,RAV4,2007,Silver,Nigerian Used,182271.0,3500.0,Registered,Registered,Lagos,4680000.0
3352,Mercedes-Benz,GL-Class,2007,Silver,Nigerian Used,81016.0,4700.0,Registered,Registered,,5720000.0
3353,Toyota,HiAce,2007,Silver,Foreign Used,80513.0,2800.0,Imported,Imported,,9450000.0
3354,Mercedes-Benz,M Class,2014,Black,Nigerian Used,,3500.0,Registered,Imported,LAGOS,16640000.0
3355,Toyota,Camry,2015,Black,Nigerian Used,53724.0,2500.0,Registered,Registered,ABUJA,6090000.0
3356,Toyota,Corolla,2010,Red,Foreign Used,360532.0,1800.0,Imported,Imported,,5200000.0
3357,Lexus,ES,2011,Blue,Foreign Used,148859.0,3500.0,Imported,Imported,,6300000.0
3358,Toyota,Corolla,2015,Silver,Nigerian Used,67407.0,1800.0,Registered,Imported,EDO,7350000.0
3359,Lexus,ES,2011,Silver,Foreign Used,106891.0,3500.0,Imported,Imported,,6090000.0
3360,Toyota,Camry,2011,Silver,Foreign Used,230512.0,2500.0,Imported,Imported,,4784000.0
3361,Toyota,Venza,2009,Gray,Foreign Used,86051.0,3500.0,Imported,Imported,,7350000.0
3362,Lexus,ES,2005,Gold,Foreign Used,158940.0,3300.0,Imported,Imported,,4160000.0
3363,Mercedes-Benz,GLK-Class,2010,Blue,Nigerian Used,256449.0,3500.0,Registered,Imported,LAGOS,6968000.0
3364,Mercedes-Benz,C-Class,2012,Black,Nigerian Used,119275.0,,Registered,Registered,LAGOS,4620000.0
3365,Toyota,Camry,2012,White,Foreign Used,138794.0,2500.0,Imported,Imported,,7800000.0
3366,Toyota,Avalon,2007,White,Nigerian Used,148988.0,3500.0,Registered,Imported,Lagos,26000000.0
3367,Toyota,Camry,2013,Gray,Nigerian Used,178358.0,2500.0,Registered,Registered,,5304000.0
3368,Toyota,Sienna,2006,Gray,Foreign Used,140689.0,3300.0,Imported,Imported,,3990000.0
3369,Toyota,RAV4,2011,Black,Nigerian Used,121804.0,2400.0,Registered,Registered,LAGOS,3675000.0
3370,Mercedes-Benz,M Class,2012,Silver,Nigerian Used,152145.0,3500.0,Registered,Imported,LAGOS,9030000.0
3371,Toyota,Camry,2010,Silver,Foreign Used,250791.0,2400.0,Imported,Imported,,4680000.0
3372,Toyota,Venza,2009,Gold,Nigerian Used,77282.0,2700.0,Registered,Registered,LAGOS,5355000.0
3373,Toyota,Camry,2012,Red,Foreign Used,276388.0,2500.0,Imported,Imported,,5880000.0
3374,Toyota,Matrix,2009,Gray,Foreign Used,267189.0,1800.0,Imported,Imported,,4680000.0
3375,Toyota,Camry,2010,Silver,Foreign Used,250791.0,2400.0,Imported,Imported,,4680000.0
3376,Toyota,Sienna,2006,Gray,Foreign Used,140689.0,3300.0,Imported,Imported,,3990000.0
3377,Toyota,Camry,2007,Gray,Foreign Used,151648.0,2400.0,Imported,Imported,,3465000.0
3378,Lexus,ES,2009,Silver,Nigerian Used,151202.0,3500.0,Registered,Imported,Lagos,4680000.0
3379,Toyota,Camry,2013,Gold,Foreign Used,65176.0,2500.0,Imported,Imported,,6760000.0
3380,Toyota,Matrix,2009,White,Foreign Used,440220.0,2400.0,Imported,Imported,,4680000.0
3381,Toyota,Sienna,2007,White,Foreign Used,326148.0,3500.0,Imported,Imported,,5408000.0
3382,Ford,Sport Trac,2007,Blue,Nigerian Used,241016.0,4000.0,Registered,Registered,,4410000.0
3383,Lexus,ES,2005,Gold,Foreign Used,158940.0,3300.0,Imported,Imported,,4160000.0
3384,Toyota,Matrix,2005,Black,Foreign Used,318227.0,1800.0,Imported,Imported,,3536000.0
3385,Mercedes-Benz,GL-Class,2007,Blue,Foreign Used,235543.0,4700.0,Imported,Imported,,6090000.0
3386,Toyota,Camry,2012,Red,Foreign Used,276388.0,2500.0,Imported,Imported,,5880000.0
3387,Toyota,Camry,2012,Black,Nigerian Used,120211.0,2500.0,Registered,Registered,,4042500.0
3388,Toyota,Land Cruiser,2004,Black,Nigerian Used,133877.0,4700.0,Registered,Registered,LAGOS,9975000.0
3389,Acura,MDX,2008,Black,Nigerian Used,93672.0,3700.0,Registered,Imported,LAGOS,4160000.0
3390,Mercedes-Benz,GL-Class,2013,Gray,Foreign Used,255241.0,4700.0,Imported,Imported,,14700000.0
3391,Toyota,Venza,2014,Beige,Foreign Used,86051.0,2700.0,Imported,Imported,,9975000.0
3392,Toyota,Camry,2012,White,Foreign Used,138794.0,2500.0,Imported,Imported,,7800000.0
3393,Toyota,Camry,2007,Silver,Nigerian Used,225137.0,2400.0,Registered,Imported,,3120000.0
3394,Toyota,Camry,2010,Blue,Foreign Used,201585.0,,Imported,Imported,,5512000.0
3395,Hyundai,Sonata,2020,Gray,Nigerian Used,15637.0,2500.0,Registered,Registered,Abuja,15750000.0
3396,Toyota,Camry,2004,White,Foreign Used,369013.0,3000.0,Imported,Imported,,3224000.0
3397,Toyota,Land Cruiser Prado,2008,Black,Nigerian Used,192365.0,2700.0,Registered,Brand new,LAGOS,5250000.0
3398,Lexus,RX 350,2009,Gray,Nigerian Used,196796.0,3500.0,Registered,Imported,LAGOS,6136000.0
3399,Toyota,Camry,2007,Silver,Foreign Used,229969.0,2400.0,Imported,Imported,,4368000.0
3400,Toyota,RAV4,2009,Silver,Nigerian Used,159453.0,3500.0,Registered,Imported,RIVERS,3640000.0
3401,Toyota,Camry,2008,Gold,Nigerian Used,236366.0,2400.0,Registered,Imported,LAGOS,3120000.0
3402,Hyundai,Sonata,2012,Gray,Nigerian Used,90279.0,2400.0,Registered,Registered,Lagos,3360000.0
3403,Toyota,Camry,2008,Gray,Foreign Used,498364.0,2400.0,Imported,Imported,,3360000.0
3404,Toyota,Corolla,2014,Red,Foreign Used,138934.0,1800.0,Imported,Imported,,7176000.0
3405,Lexus,RX 350,2009,Gray,Nigerian Used,104665.0,3500.0,Registered,Imported,,4680000.0
3406,Toyota,Camry,2005,Gray,Foreign Used,252344.0,2400.0,Imported,Imported,,3536000.0
3407,Mercedes-Benz,M Class,2012,Gold,Foreign Used,164703.0,3500.0,Imported,Imported,,11550000.0
3408,Mercedes-Benz,GLE-Class,2017,White,Nigerian Used,116658.0,3500.0,Registered,Imported,,31200000.0
3409,Mercedes-Benz,C350,2008,Black,Nigerian Used,163311.0,3500.0,Registered,Registered,,3675000.0
3410,Mercedes-Benz,C300,2008,Gray,Nigerian Used,229678.0,3000.0,Registered,Imported,Abuja,4160000.0
3411,Toyota,Highlander,2008,Black,Nigerian Used,273162.0,3500.0,Registered,Registered,,5260000.0
3412,Hyundai,Sonata,2011,Silver,Nigerian Used,130052.0,2400.0,Registered,Registered,,3360000.0
3413,Toyota,Sienna,2009,Silver,Foreign Used,179838.0,3500.0,Imported,Imported,,5096000.0
3414,Toyota,Camry,2010,Gold,Nigerian Used,169502.0,2500.0,Registered,Imported,LAGOS,3640000.0
3415,Mercedes-Benz,CLS,2007,Silver,Nigerian Used,124512.0,5500.0,Registered,Imported,LAGOS,4680000.0
3416,Toyota,Camry,2009,Gray,Nigerian Used,156522.0,2400.0,Registered,Registered,,3328000.0
3417,Toyota,Camry,2011,Red,Foreign Used,170067.0,2500.0,Imported,Imported,,4784000.0
3418,Ford,Expedition,2004,Black,Foreign Used,286840.0,5400.0,Imported,Imported,,3150000.0
3419,Toyota,Corolla,2009,Gold,Nigerian Used,87059.0,1800.0,Registered,Registered,ABUJA,3536000.0
3420,Mercedes-Benz,GL-Class,2007,Red,Nigerian Used,30253.0,40000.0,Registered,Registered,NASARAWA,4888000.0
3421,Toyota,Corolla,2010,Silver,Foreign Used,179016.0,1800.0,Imported,Imported,,5200000.0
3422,Mercedes-Benz,C300,2011,Blue,Nigerian Used,116742.0,3500.0,Registered,Imported,,3675000.0
3423,Toyota,Sienna,2011,Green,Foreign Used,106153.0,3500.0,Imported,Imported,,8008000.0
3424,Lexus,ES,2006,White,Nigerian Used,510440.0,3300.0,Registered,Registered,Lagos,3016000.0
3425,Toyota,Highlander,2008,Blue,Foreign Used,113950.0,3500.0,Imported,Imported,,6825000.0
3426,Toyota,Corolla,2008,Blue,Foreign Used,158114.0,1800.0,Imported,Imported,,3675000.0
3427,Land Rover,Range Rover,2018,Black,Nigerian Used,23208.0,4200.0,Registered,Brand new,ABUJA,10500000.0
3428,Toyota,Corolla,2010,Black,Foreign Used,222990.0,1800.0,Imported,Imported,,4305000.0
3429,Mercedes-Benz,C300,2008,Black,Nigerian Used,107537.0,3500.0,Registered,Imported,,4160000.0
3430,Ford,Explorer,2012,White,Foreign Used,94805.0,3500.0,Imported,Imported,,8840000.0
3431,Toyota,Land Cruiser,2000,Black,Nigerian Used,159274.0,4700.0,Registered,Registered,,9360000.0
3432,Hyundai,Sonata,2016,Blue,Foreign Used,221776.0,2400.0,Imported,Imported,,7035000.0
3433,Mercedes-Benz,R-Class,2012,Silver,Nigerian Used,172859.0,3500.0,Registered,Imported,,6300000.0
3434,Toyota,Highlander,2008,Silver,Nigerian Used,201988.0,3500.0,Registered,Registered,Abuja,6760000.0
3435,Mercedes-Benz,M Class,2012,Black,Foreign Used,106606.0,3500.0,Imported,Imported,,11550000.0
3436,Toyota,Corolla,2010,Red,Nigerian Used,75742.0,1800.0,Registered,Registered,Lagos,3744000.0
3437,Land Rover,Discovery,2017,Black,Foreign Used,56997.0,3000.0,Imported,Imported,,33600000.0
3438,Toyota,Camry,2015,Silver,Foreign Used,222404.0,2500.0,Imported,Imported,,6825000.0
3439,Lexus,GS,2008,Black,Nigerian Used,130777.0,3500.0,Registered,Registered,Lagos,3150000.0
3440,Toyota,Corolla,2010,Blue,Nigerian Used,87067.0,1800.0,Registered,Registered,,3952000.0
3441,Toyota,Camry,2008,Gray,Nigerian Used,167213.0,3500.0,Registered,Registered,Lagos,2625000.0
3442,Toyota,Corolla Altis,2005,Silver,Foreign Used,252371.0,1800.0,Imported,Imported,,3885000.0
3443,Toyota,Camry,2010,Gold,Foreign Used,125968.0,2500.0,Imported,Imported,,4680000.0
3444,Dodge,Dakota,2006,White,Foreign Used,400101.0,3700.0,Imported,Imported,,3885000.0
3445,Toyota,Corolla,2013,Blue,Nigerian Used,112693.0,1800.0,Registered,Registered,,3952000.0
3446,Toyota,Highlander,2006,Gold,Nigerian Used,207678.0,3300.0,Registered,Registered,,3432000.0
3447,Land Rover,Range Rover Evoque,2017,Black,Nigerian Used,58382.0,2000.0,Registered,Imported,,16800000.0
3448,Toyota,Camry,2009,Silver,Foreign Used,260464.0,2400.0,Imported,Imported,,4056000.0
3449,Dodge,Journey,2015,Black,Foreign Used,201231.0,3500.0,Imported,Imported,,8925000.0
3450,Toyota,Camry,2011,Gray,Foreign Used,171598.0,2400.0,Imported,Imported,,5200000.0
3451,Toyota,Camry,2008,Gray,Nigerian Used,167213.0,3500.0,Registered,Registered,Lagos,2625000.0
3452,Land Rover,Range Rover,2010,Black,Nigerian Used,55856.0,5000.0,Registered,Imported,,6300000.0
3453,Lexus,IS,2006,Black,Nigerian Used,252189.0,3500.0,Registered,Registered,Lagos,4680000.0
3454,Mercedes-Benz,C300,2011,Blue,Nigerian Used,116742.0,3500.0,Registered,Imported,,3675000.0
3455,Toyota,Land Cruiser,2000,Black,Nigerian Used,159274.0,4700.0,Registered,Registered,,9360000.0
3456,Toyota,Corolla,2013,Blue,Nigerian Used,112693.0,1800.0,Registered,Registered,,3952000.0
3457,Toyota,RAV4,2007,Blue,Nigerian Used,157780.0,2400.0,Registered,Imported,Lagos State,3150000.0
3458,Toyota,Corolla Altis,2005,Silver,Foreign Used,252371.0,1800.0,Imported,Imported,,3885000.0
3459,Mercedes-Benz,R-Class,2012,Silver,Nigerian Used,172859.0,3500.0,Registered,Imported,,6300000.0
3460,Mercedes-Benz,E550,2010,Gray,Nigerian Used,163267.0,5500.0,Registered,Imported,Lagos,3990000.0
3461,Ford,Explorer,2011,Gray,Nigerian Used,333711.0,3500.0,Registered,Imported,Lagos,6240000.0
3462,Toyota,Camry,2009,White,Nigerian Used,265029.0,3500.0,Registered,Registered,Abuja,3640000.0
3463,Toyota,Camry,2009,Black,Nigerian Used,134109.0,3500.0,Registered,Registered,Plateau,3640000.0
3464,Toyota,Camry,2007,Red,Nigerian Used,188413.0,2400.0,Registered,Imported,LAGOS,3224000.0
3465,Toyota,Camry,2008,Black,Foreign Used,203579.0,2400.0,Imported,Imported,,3885000.0
3466,Toyota,Fortuner,2013,Gold,Nigerian Used,100036.0,2700.0,Registered,Registered,,11025000.0
3467,Hyundai,Azera,2014,Black,Foreign Used,56425.0,3300.0,Imported,Imported,,7350000.0
