,Make,Model,Year of manufacture,Colour,Condition,Mileage,Engine Size,Selling Condition,Bought Condition,Registered city,Price
2304,Toyota,Camry,2010,Black,Nigerian Used,198626,2500,Registered,Imported,Lagos,3045000.0
2305,Mazda,626,2000,White,Nigerian Used,203790,2000,Registered,Registered,,924000.0
2306,Toyota,Camry,2003,Green,Nigerian Used,251277,3000,Registered,Registered,Lagos,2100000.0
2307,Lexus,RX 350,2010,Black,Nigerian Used,130440,3800,Registered,Registered,Lagos,8736000.0
2308,Toyota,Sienna,2014,Silver,Foreign Used,201996,3500,Imported,Imported,,9450000.0
2309,Toyota,4-Runner,2011,Black,Nigerian Used,75688,4000,Registered,Imported,,9240000.0
2310,Lexus,RX,2005,Black,Nigerian Used,141147,3300,Registered,Imported,LAGOS,4095000.0
2311,Toyota,Tundra,2007,Silver,Nigerian Used,145231,4700,Registered,Registered,Lagos,4410000.0
2312,Mercedes-Benz,M Class,2010,Silver,Nigerian Used,187880,3500,Registered,Imported,Lagos,4830000.0
2313,Honda,Accord,2008,Black,Nigerian Used,214862,2400,Registered,Imported,Lagos,2600000.0
2314,Lexus,RX 350,2009,Black,Nigerian Used,178163,3500,Registered,Registered,Lagos,4200000.0
2315,Nissan,Altima,2009,Green,Nigerian Used,146750,2500,Registered,Imported,Lagos,1575000.0
2316,Lexus,GS,2009,Blue,Nigerian Used,166719,3500,Registered,Imported,,2205000.0
2317,Ford,Explorer,2007,Blue,Nigerian Used,219337,4000,Registered,Registered,LAGOS,1470000.0
2318,Infiniti,QX56,2008,Black,Nigerian Used,103118,5600,Registered,Imported,LAGOS,6720000.0
2319,Hyundai,Santa Fe,2007,Blue,Nigerian Used,161691,3300,Registered,Registered,LAGOS,2184000.0
2320,Lexus,ES,2007,Blue,Nigerian Used,115745,3500,Registered,Imported,,6240000.0
2321,Toyota,Matrix,2006,Red,Nigerian Used,251507,1800,Registered,Imported,LAGOS,1732500.0
2322,Honda,Accord,2004,Beige,Nigerian Used,272543,3000,Registered,Imported,,1260000.0
2323,Toyota,RAV4,2006,Black,Nigerian Used,127153,3500,Registered,Imported,,3255000.0
2324,Ford,Escape,2008,Gray,Nigerian Used,241384,3000,Registered,Imported,ABUJA,2625000.0
2325,Ford,Fusion,2012,White,Nigerian Used,192639,2500,Registered,Registered,Lagos,3150000.0
2326,Lexus,ES,2005,Black,Nigerian Used,125254,77830,Registered,Registered,,2625000.0
2327,Toyota,Avensis,2003,Black,Nigerian Used,146482,2000,Registered,Registered,LAGOS,1470000.0
2328,Toyota,Sienna,2011,Green,Foreign Used,144130,3500,Imported,Imported,,9360000.0
2329,Honda,Pilot,2009,Black,Nigerian Used,144196,3500,Registered,Registered,LAGOS,3780000.0
2330,BMW,X5,2008,Blue,Foreign Used,106203,4700,Imported,Imported,,5775000.0
